arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
piccolo/query/methods/create_index.py,6,2.0,3,12,A,CreateIndex,column_names,29
piccolo/query/methods/drop_index.py,3,2.0,3,6,A,DropIndex,column_names,27
piccolo/utils/sync.py,1,2.0,2,2,A,,run_sync,11
piccolo/apps/migrations/commands/clean.py,4,2.0,4,8,A,CleanMigrationManager,run,42
piccolo/apps/project/commands/new.py,2,2.0,3,4,A,,new_piccolo_conf,20
piccolo/apps/app/commands/show_all.py,1,2.0,2,2,A,,show_all,4
piccolo/apps/user/commands/change_password.py,1,2.0,2,2,A,,change_password,11
piccolo/columns/combination.py,16,2.06,6,33,B,And,get_column_values,62
piccolo/columns/base.py,77,2.14,10,165,B,Column,_validate_default,639
piccolo/query/functions/datetime.py,11,2.27,10,25,B,AtTimeZone,__init__,256
piccolo/apps/migrations/commands/check.py,6,2.33,4,14,A,CheckMigrationManager,get_migration_statuses,21
piccolo/query/base.py,36,2.39,14,86,C,Query,_load_json_columns,63
piccolo/query/methods/select.py,62,2.4,13,149,C,Select,_handle_m2m_sqlite,418
piccolo/query/methods/update.py,6,2.5,6,15,B,Update,_validate,64
piccolo/apps/playground/commands/run.py,11,2.55,13,28,C,,run,379
piccolo/query/functions/array.py,7,2.57,4,18,A,ArrayCat,__init__,25
piccolo/columns/m2m.py,23,2.61,9,60,B,M2MSelect,get_select_string,60
piccolo/apps/user/tables.py,13,2.62,7,34,B,BaseUser,login,196
piccolo/query/mixins.py,56,2.66,9,149,B,OnConflictItem,action_string,666
piccolo/table.py,75,2.69,18,202,C,Table,_table_str,1551
piccolo/apps/user/commands/create.py,8,2.75,8,22,B,,create,59
piccolo/apps/app/commands/new.py,5,2.8,6,14,B,,new_app,60
piccolo/apps/migrations/tables.py,1,3.0,3,3,A,Migration,get_migrations_which_ran,16
piccolo/apps/fixtures/commands/shared.py,1,3.0,3,3,A,,create_pydantic_fixture_model,21
piccolo/apps/schema/commands/generate.py,43,3.09,13,133,C,,get_output_schema,1035
piccolo/apps/migrations/commands/new.py,8,3.12,8,25,B,,new,213
piccolo/query/methods/insert.py,6,3.17,9,19,B,Insert,default_querystrings,107
piccolo/apps/migrations/auto/diffable_table.py,10,3.2,14,32,C,DiffableTable,__sub__,115
piccolo/apps/migrations/auto/migration_manager.py,48,3.33,16,160,C,MigrationManager,_run_add_columns,938
piccolo/conf/apps.py,32,3.34,19,107,C,,table_finder,48
piccolo/query/constraints.py,2,3.5,4,7,A,,get_fk_constraint_name,8
piccolo/utils/list.py,2,3.5,4,7,A,,batch,31
piccolo/utils/encoding.py,2,3.5,4,7,A,,dump_json,15
piccolo/apps/user/commands/list.py,2,3.5,6,7,B,,list_users,28
piccolo/query/methods/refresh.py,7,3.57,6,25,B,Refresh,_update_instance,104
piccolo/apps/asgi/commands/new.py,7,3.57,8,25,B,,_process_file,55
piccolo/apps/migrations/commands/base.py,5,3.6,7,18,B,BaseMigrationManager,get_migration_modules,33
piccolo/apps/migrations/auto/schema_snapshot.py,10,3.7,7,37,B,SchemaSnapshot,_apply_alter_columns,109
piccolo/apps/migrations/commands/forwards.py,7,3.71,7,26,B,ForwardsMigrationManager,run_migrations,65
piccolo/apps/migrations/auto/schema_differ.py,27,3.81,13,103,C,SchemaDiffer,check_rename_tables,137
piccolo/apps/fixtures/commands/dump.py,4,4.25,10,17,B,,parse_args,70
piccolo/columns/reference.py,5,4.4,6,22,B,LazyTableReference,resolve,52
piccolo/apps/shell/commands/run.py,2,4.5,5,9,A,,run,29
piccolo/apps/migrations/commands/backwards.py,5,4.8,14,24,C,BackwardsMigrationManager,run_migrations_backwards,32
piccolo/utils/repr.py,1,5.0,5,5,A,,repr_class_instance,4
piccolo/apps/schema/commands/graph.py,2,5.0,9,10,B,,graph,47
piccolo/query/methods/create.py,2,5.5,10,11,B,Create,default_ddl,47
piccolo/utils/printing.py,3,5.67,13,17,C,,print_dict_table,24
piccolo/utils/pydantic.py,11,5.82,13,64,C,,_build_extra_for_column,199
piccolo/utils/dictionary.py,1,6.0,6,6,B,,make_nested,6
piccolo/apps/fixtures/commands/load.py,2,6.0,9,12,B,,load_json_string,20
piccolo/apps/user/commands/change_permissions.py,1,6.0,6,6,B,,change_permissions,10
piccolo/query/functions/string.py,2,6.5,7,13,B,Concat,__init__,73
piccolo/testing/model_builder.py,4,7.0,13,28,C,ModelBuilder,_build,104
piccolo/query/functions/conditional.py,2,7.0,8,14,B,Coalesce,__init__,13
piccolo/main.py,2,7.5,14,15,C,,main,37
piccolo/query/functions/aggregate.py,1,8.0,8,8,B,Count,__init__,53
piccolo/query/functions/type_conversion.py,1,9.0,9,9,B,Cast,__init__,11
piccolo/utils/objects.py,1,9.0,9,9,B,,make_nested_object,12
piccolo/utils/sql_values.py,1,10.0,10,10,B,,convert_to_sql_value,14
piccolo/apps/sql_shell/commands/run.py,1,11.0,11,11,C,,run,12
piccolo/apps/migrations/auto/serialisation_legacy.py,1,13.0,13,13,C,,deserialise_legacy_params,11
piccolo/query/functions/math.py,0,,,,,,,
piccolo/columns/choices.py,0,,,,,,,
piccolo/columns/operators/comparison.py,0,,,,,,,
piccolo/columns/operators/base.py,0,,,,,,,
piccolo/columns/operators/math.py,0,,,,,,,
piccolo/columns/operators/string.py,0,,,,,,,
piccolo/engine/exceptions.py,0,,,,,,,
piccolo/apps/schema/commands/exceptions.py,0,,,,,,,
piccolo/apps/migrations/auto/operations.py,0,,,,,,,
